Indiana State,32,17,15,.531,1.11,2.40,9,9,11,3,5,10,2113,2123,1300,708,1681,.421,221,630,.351,476,619,.769,290,1067,335,177,120,401,590,
Indiana,31,10,21,.323,0.76,9.37,4,14,8,9,1,8,2053,2215,1250,703,1687,.417,160,469,.341,487,705,.691,396,1090,375,211,107,486,636,
Iona,31,21,10,.677,2.31,-1.85,12,6,11,3,8,4,2050,1921,1245,700,1667,.420,227,619,.367,423,621,.681,322,1041,421,246,90,420,614,
Iowa State,32,15,17,.469,9.60,8.37,4,12,11,7,3,7,2250,2174,1260,804,1811,.444,200,540,.370,442,673,.657,378,1193,442,162,155,437,490,
Iowa,32,10,22,.313,2.12,8.09,4,14,9,9,1,10,1937,2112,1285,675,1629,.414,239,753,.317,348,503,.692,317,1023,394,134,64,440,507,
IPFW,31,16,15,.516,-9.42,-4.73,9,9,10,4,5,10,2129,2112,1255,747,1790,.417,221,583,.379,414,595,.696,335,1103,376,183,145,398,592,
IUPUI,36,25,11,.694,1.63,-4.08,15,3,11,3,10,5,2681,2420,1465,953,1891,.504,204,525,.389,571,799,.715,359,1199,538,317,167,513,573,
Jackson State,32,19,13,.594,-13.21,-10.66,17,1,9,3,9,8,2028,2089,1290,682,1725,.395,177,540,.328,487,755,.645,413,1214,359,190,119,469,659,
Jacksonville State,30,11,19,.367,-8.18,-4.22,7,11,10,7,1,12,2088,2144,1205,727,1670,.435,181,497,.364,453,619,.732,328,1026,455,202,142,415,560,
Jacksonville,33,20,13,.606,-1.71,-2.30,14,6,8,3,10,10,2304,2228,1320,803,1915,.419,176,529,.333,522,739,.706,480,1230,393,279,137,481,654,
James Madison,33,13,20,.394,-4.96,-1.52,4,14,9,5,2,13,2210,2307,1320,796,1810,.440,189,605,.312,429,628,.683,353,1149,462,204,140,477,532,
Kansas State,37,29,8,.784,19.88,10.28,11,5,13,3,7,2,2949,2584,1500,981,2182,.450,253,703,.360,734,1098,.668,559,1437,541,274,187,529,828,
Kansas,36,33,3,.917,24.68,8.25,15,1,18,0,9,2,2937,2312,1450,1033,2111,.489,262,648,.404,609,871,.699,468,1457,609,301,232,470,658,
Kennesaw State,33,13,20,.394,-10.08,-3.69,7,13,8,6,3,12,2182,2314,1330,784,1924,.407,235,715,.329,379,557,.680,450,1166,417,218,121,480,529,
Kent State,34,24,10,.706,5.28,0.74,13,3,14,2,9,6,2382,2213,1370,839,1942,.432,189,599,.316,515,766,.672,410,1207,437,285,91,407,631,
Kentucky,38,35,3,.921,21.13,6.82,14,2,18,0,7,2,3012,2468,1535,1066,2228,.478,231,697,.331,649,971,.668,548,1584,573,279,273,547,641,
La Salle,30,12,18,.400,-0.28,2.46,4,12,6,7,4,8,2111,2193,1200,756,1718,.440,164,487,.337,435,652,.667,420,1167,415,187,140,471,517,
Lafayette,32,19,13,.594,-7.96,-8.99,8,6,13,3,6,10,2320,2287,1285,775,1710,.453,258,691,.373,512,670,.764,274,991,482,235,91,422,552,
Lamar,32,14,18,.438,-11.11,-4.22,5,11,13,5,1,13,2200,2288,1285,755,1782,.424,122,453,.269,568,839,.677,449,1257,439,202,115,510,609,
Lehigh,33,22,11,.667,-3.33,-7.79,10,4,15,2,7,8,2478,2331,1330,842,1853,.454,220,551,.399,574,799,.718,339,1201,495,203,85,429,589,
Liberty,31,15,16,.484,-13.22,-7.25,10,8,8,6,5,9,2093,2114,1240,727,1656,.439,171,510,.335,468,669,.700,333,1141,383,205,91,483,567,
Lipscomb,30,17,13,.567,-2.07,-3.07,14,6,9,5,8,7,2373,2255,1210,826,1778,.465,243,667,.364,478,678,.705,385,1105,519,201,76,439,520,
Long Beach State,33,17,16,.515,-0.42,1.55,8,8,8,3,6,10,2344,2347,1335,828,1912,.433,202,613,.330,486,745,.652,395,1176,440,256,89,473,591,
Long Island University,31,14,17,.452,-11.56,-8.25,11,7,10,3,4,13,2162,2225,1265,721,1802,.400,230,661,.348,490,709,.691,426,1210,335,180,122,438,551,
