25,Boston College,32,7,25,0.21899999999999997,-1.61,7.67,0,18,6,11,0,10,1959,2256,1285,717,1752,0.409,230,708,0.325,295,453,0.6509999999999999,243,993,410,181,93,427,576,,66.9,91.1,0.259,0.40399999999999997,0.498,45.8,57.2,8.4,8.1,0.475,17.8,21.8,0.168,,66.9,104.9,0.37,0.33899999999999997,0.5539999999999999,54.2,58.7,10.9,10.5,0.524,16.9,28.7,0.254,
26,Boston University,34,19,15,0.5589999999999999,-6.79,-6.37,11,7,9,6,10,9,2483,2464,1375,859,1893,0.45399999999999996,272,748,0.364,493,688,0.7170000000000001,305,1216,456,204,129,467,641,,69.4,104.0,0.363,0.395,0.5589999999999999,50.7,53.1,8.5,10.2,0.526,17.4,26.7,0.26,,69.4,103.2,0.33899999999999997,0.37,0.528,49.3,55.5,9.1,7.9,0.49700000000000005,14.8,27.5,0.23199999999999998,
27,Bowling Green State,34,16,18,0.47100000000000003,-5.88,-1.85,5,13,7,8,7,8,2400,2457,1360,849,1913,0.444,203,563,0.361,499,761,0.6559999999999999,346,1238,398,209,113,430,655,,69.3,101.8,0.39799999999999996,0.294,0.528,50.6,46.9,8.9,9.2,0.49700000000000005,15.9,28.7,0.261,,69.3,104.2,0.34600000000000003,0.377,0.5329999999999999,49.4,44.4,8.8,7.6,0.502,14.9,28.2,0.239,
28,Bradley,32,5,27,0.156,-10.91,3.7,3,15,4,11,1,12,1793,2238,1290,606,1596,0.38,165,590,0.28,416,628,0.662,277,1083,292,142,87,540,744,,67.1,82.8,0.39299999999999996,0.37,0.473,49.1,48.2,6.6,7.7,0.431,22.2,25.0,0.261,,67.1,103.4,0.517,0.325,0.536,50.9,53.9,11.4,9.8,0.496,15.2,26.3,0.344,
29,Brigham Young,37,26,11,0.703,12.36,2.36,13,5,17,2,6,6,3093,2692,1485,1096,2369,0.46299999999999997,330,863,0.382,571,827,0.69,442,1514,611,256,161,434,690,,74.0,112.6,0.349,0.364,0.56,53.0,55.7,9.3,11.5,0.532,13.6,31.1,0.24100000000000002,,74.0,98.0,0.32,0.38,0.515,47.0,54.0,7.5,9.0,0.479,15.7,25.1,0.22899999999999998,
30,Brown,28,8,20,0.28600000000000003,-8.05,-2.82,3,11,7,6,1,13,2040,2155,1140,697,1625,0.429,225,639,0.35200000000000004,421,600,0.7020000000000001,272,1019,414,150,114,373,543,,70.5,101.6,0.369,0.39299999999999996,0.534,48.3,59.4,7.5,10.2,0.498,16.3,26.5,0.259,,70.5,107.3,0.35700000000000004,0.355,0.534,51.7,53.0,10.8,9.8,0.502,13.8,31.2,0.245,
31,Bryant,31,8,23,0.258,-18.58,-6.71,5,13,4,10,4,13,2018,2361,1250,755,1798,0.42,198,615,0.322,310,482,0.643,300,1048,415,176,83,418,591,,68.4,94.5,0.268,0.342,0.498,46.3,55.0,8.2,7.4,0.475,17.1,26.3,0.172,,68.4,110.5,0.313,0.40399999999999997,0.547,53.7,57.1,10.1,9.6,0.514,13.8,33.6,0.228,
32,Bucknell,31,17,14,0.5479999999999999,-2.09,-5.89,14,4,8,7,9,7,2448,2288,1265,831,1788,0.465,233,639,0.365,553,774,0.7140000000000001,317,1137,489,204,100,423,657,,71.5,108.2,0.433,0.35700000000000004,0.568,51.6,58.8,9.0,8.5,0.53,16.4,29.8,0.309,,71.5,101.1,0.41,0.359,0.525,48.4,57.4,9.6,11.5,0.49,15.6,28.1,0.275,
33,Buffalo,35,20,15,0.5710000000000001,1.34,0.9,10,8,10,5,5,9,2709,2634,1410,915,2096,0.43700000000000006,263,776,0.33899999999999997,616,867,0.71,423,1363,441,240,124,475,748,,72.6,105.8,0.414,0.37,0.54,51.7,48.2,9.4,9.2,0.499,15.9,32.1,0.294,,72.6,102.9,0.377,0.36,0.532,48.3,50.6,7.7,8.9,0.493,15.8,28.7,0.27,
34,Butler,33,22,11,0.667,16.46,7.55,10,8,13,3,5,5,2638,2344,1325,918,1969,0.466,236,601,0.39299999999999996,566,774,0.731,363,1188,468,227,107,338,646,,69.9,113.9,0.39299999999999996,0.305,0.564,52.3,51.0,9.8,8.9,0.526,12.6,32.0,0.287,,69.9,101.2,0.358,0.363,0.5329999999999999,47.7,50.6,6.6,10.6,0.49700000000000005,16.4,27.2,0.254,
